"","Reps","region_index","Time","Marker","mean_fluor"
"105","Rep1",5,"24h","Grh1",0.13968290716
"106","Rep1",5,"24h","HDEL",0.2825767399
"107","Rep1",5,"24h","Pex6",0.11243742575
"108","Rep1",5,"24h","Rpl25",0.13553804868
"109","Rep1",5,"24h","Scad2",0.1758494364
"110","Rep1",5,"24h","Sec7",0.175896302636364
"111","Rep1",5,"24h","Vac8",0.128402230761905
"112","Rep1",5,"4h","Grh1",0.1406673544
"113","Rep1",5,"4h","HDEL",0.108385941333333
"114","Rep1",5,"4h","Pex6",0.0706640245666667
"115","Rep1",5,"4h","Scad2",0.1686783259
"116","Rep1",5,"4h","Sec7",0.13665528445
"117","Rep1",5,"4h","Vac8",0.0651742888125
"118","Rep1",5,"8h","Grh1",0.0966079704
"119","Rep1",5,"8h","HDEL",0.1423846723
"120","Rep1",5,"8h","Pex6",0.0548119425
"121","Rep1",5,"8h","Rpl25",0.123677666
"122","Rep1",5,"8h","Scad2",0.1599218524
"123","Rep1",5,"8h","Sec7",0.130060247714286
"124","Rep1",5,"8h","Vac8",0.0844151830952381
"125","Rep2",1,"0h","Grh1",0.118210711461538
"126","Rep2",1,"0h","HDEL",0.0836111594
"127","Rep2",1,"0h","Pex6",0.105603396346154
"128","Rep2",1,"0h","Rpl25",0.130702470481481
"129","Rep2",1,"0h","Scad2",0.150795361
"130","Rep2",1,"0h","Sec7",0.120303647047619
"131","Rep2",1,"0h","Vac8",0.112358365761905
"132","Rep2",1,"24h","Grh1",0.0187729432692308
"133","Rep2",1,"24h","HDEL",0.0508691409047619
"134","Rep2",1,"24h","Pex6",0.02006382288
"135","Rep2",1,"24h","Rpl25",0.0246692180769231
"136","Rep2",1,"24h","Scad2",0.06090091935
"137","Rep2",1,"24h","Sec7",0.0326949123809524
"138","Rep2",1,"24h","Vac8",0.03733085475
"139","Rep2",1,"4h","Grh1",0.0224681145
"140","Rep2",1,"4h","HDEL",0.0638919622857143
"141","Rep2",1,"4h","Pex6",0.0683429798
"142","Rep2",1,"4h","Rpl25",0.0491015326296296
"143","Rep2",1,"4h","Scad2",0.1268268654
"144","Rep2",1,"4h","Sec7",0.0577111900476191
"145","Rep2",1,"4h","Vac8",0.07845382555
"146","Rep2",1,"8h","Grh1",0.03792507328
"147","Rep2",1,"8h","HDEL",0.0593975291
"148","Rep2",1,"8h","Pex6",0.05740709956
"149","Rep2",1,"8h","Rpl25",0.0399608565714286
"150","Rep2",1,"8h","Scad2",0.0995283484
"151","Rep2",1,"8h","Sec7",0.0502533988571429
"152","Rep2",1,"8h","Vac8",0.0641477322857143
"153","Rep2",2,"0h","Grh1",0.124489317807692
"154","Rep2",2,"0h","HDEL",0.0835779967
"155","Rep2",2,"0h","Pex6",0.105912142807692
"156","Rep2",2,"0h","Rpl25",0.102570243111111
"157","Rep2",2,"0h","Scad2",0.1401040699
"158","Rep2",2,"0h","Sec7",0.119018818952381
"159","Rep2",2,"0h","Vac8",0.111827804809524
"160","Rep2",2,"24h","Grh1",0.0216077055384615
"161","Rep2",2,"24h","HDEL",0.0561113856666667
"162","Rep2",2,"24h","Pex6",0.02151039108
"163","Rep2",2,"24h","Rpl25",0.0269392248846154
"164","Rep2",2,"24h","Scad2",0.07174635575
"165","Rep2",2,"24h","Sec7",0.0334647511428571
"166","Rep2",2,"24h","Vac8",0.04494027805
"167","Rep2",2,"4h","Grh1",0.0125079911666667
"168","Rep2",2,"4h","HDEL",0.0651313556666667
"169","Rep2",2,"4h","Pex6",0.07055594552
"170","Rep2",2,"4h","Rpl25",0.0516819531851852
"171","Rep2",2,"4h","Scad2",0.14079910965
"172","Rep2",2,"4h","Sec7",0.0628996125238095
"173","Rep2",2,"4h","Vac8",0.08022235165
"174","Rep2",2,"8h","Grh1",0.04642620104
"175","Rep2",2,"8h","HDEL",0.0691386302
"176","Rep2",2,"8h","Pex6",0.06494642064
"177","Rep2",2,"8h","Rpl25",0.0530532264285714
"178","Rep2",2,"8h","Scad2",0.12062516645
"179","Rep2",2,"8h","Sec7",0.0581979250952381
"180","Rep2",2,"8h","Vac8",0.0777331630952381
"181","Rep2",3,"0h","Grh1",0.191767525038462
"182","Rep2",3,"0h","HDEL",0.09886901465
"183","Rep2",3,"0h","Pex6",0.114839567307692
"184","Rep2",3,"0h","Rpl25",0.098532016962963
"185","Rep2",3,"0h","Scad2",0.15535945485
"186","Rep2",3,"0h","Sec7",0.152219543428571
"187","Rep2",3,"0h","Vac8",0.156926775761905
"188","Rep2",3,"24h","Grh1",0.0320704688076923
"189","Rep2",3,"24h","HDEL",0.0752568882857143
"190","Rep2",3,"24h","Pex6",0.03265985672
"191","Rep2",3,"24h","Rpl25",0.144716218
"192","Rep2",3,"24h","Scad2",0.0807895701
"193","Rep2",3,"24h","Sec7",0.0341974717619048
"194","Rep2",3,"24h","Vac8",0.0544030344
"195","Rep2",3,"4h","Grh1",0.00864815633333333
"196","Rep2",3,"4h","HDEL",0.0786851507619048
"197","Rep2",3,"4h","Pex6",0.06892408596
"198","Rep2",3,"4h","Rpl25",0.0600347594814815
"199","Rep2",3,"4h","Scad2",0.0808672975
"200","Rep2",3,"4h","Sec7",0.0571103317619048
"201","Rep2",3,"4h","Vac8",0.0932705005
"202","Rep2",3,"8h","Grh1",0.063119326
"203","Rep2",3,"8h","HDEL",0.0944785108
"204","Rep2",3,"8h","Pex6",0.07518362856
"205","Rep2",3,"8h","Rpl25",0.0578212493928571
"206","Rep2",3,"8h","Scad2",0.08320025255
"207","Rep2",3,"8h","Sec7",0.0649321836190476
"208","Rep2",3,"8h","Vac8",0.0967030800952381
"209","Rep2",4,"24h","Grh1",0.0331256831153846
"210","Rep2",4,"24h","HDEL",0.0669518763809524
"211","Rep2",4,"24h","Pex6",0.03244382472
"212","Rep2",4,"24h","Rpl25",0.127675087346154
"213","Rep2",4,"24h","Scad2",0.0620900213
"214","Rep2",4,"24h","Sec7",0.036533016
"215","Rep2",4,"24h","Vac8",0.03848333065
"216","Rep2",4,"4h","Grh1",0.0184915301666667
"217","Rep2",4,"4h","HDEL",0.0775267280952381
"218","Rep2",4,"4h","Pex6",0.06686658976
"219","Rep2",4,"4h","Rpl25",0.0639762047777778
"220","Rep2",4,"4h","Scad2",0.09578424715
