lif_file,regions_file,region_index,region_name,channel_1_region_volume,channel_1_unscaled_region_volume,region_area,Norm_fluoro,Reps,Time,Marker
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series004.zip,3,0002-0342-0278,210375,824.99994,7183,0.114854509,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series005.zip,1,0002-0112-0256,235137,922.1059,10270,0.089786358,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series005.zip,2,0002-0217-0271,300899,1179.996,11991,0.098406805,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series005.zip,3,0002-0314-0316,250638,982.89417,7529,0.130547771,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series006.zip,1,0002-0123-0199,217885,854.451,8898,0.09602731,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series006.zip,2,0002-0205-0223,252413,989.855,10455,0.094677666,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series006.zip,3,0002-0303-0271,178493,699.9726,6003,0.116603798,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series007.zip,1,0002-0348-0309,270843,1062.1295,9791,0.108480186,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series007.zip,2,0002-0263-0284,360794,1414.8785,13157,0.107538079,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series007.zip,3,0002-0168-0241,263888,1034.8551,7907,0.130878348,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series008.zip,1,0002-0334-0326,232422,911.4589,9987,0.091264534,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series008.zip,2,0002-0287-0243,333460,1307.6863,12369,0.10572288,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series008.zip,3,0002-0239-0149,226552,888.4392,5821,0.152626559,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series009.zip,1,0002-0184-0275,245505,962.7647,8262,0.116529254,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series009.zip,2,0002-0266-0279,298061,1168.8667,10504,0.111278246,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series009.zip,3,0002-0363-0305,281228,1102.855,7450,0.148034228,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series010.zip,1,0002-0105-0279,257449,1009.604,10387,0.097198806,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series010.zip,2,0002-0196-0269,328132,1286.7921,12159,0.105830422,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series010.zip,3,0002-0295-0239,238622,935.77264,7955,0.117633267,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series011.zip,1,0002-0336-0300,235952,925.30194,8459,0.109386682,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series011.zip,2,0002-0261-0273,333522,1307.9294,12981,0.100757214,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series011.zip,3,0002-0173-0224,168520,660.8628,5997,0.110198899,Rep1,0h,HDEL-GFP
